h_id,avg_demand,size_band,model_path,capacity_kwh,initial_soc,max_charge_kw,max_discharge_kw,eff,soc_max,soc_min,pv_size_kwp,pv_shading_factor,pv_time_shift_hours
MAC000018,0.446016899012463,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000019,0.2591162864649345,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000021,0.9346752746514574,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC000022,0.5222135086290662,B3_medium,models/CNN_LSTM.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,0.9,-1.0
MAC000033,0.31525776299640895,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000038,0.471482625586185,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000040,1.115919676885298,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC000041,0.3501651880175327,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000055,0.5279684726446979,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000056,0.25578886777038445,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000060,0.4419477714670469,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000068,0.7973857730830163,B4_large,models/CNN_LSTM.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,0.95,1.0
MAC000083,0.6044430713825517,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC000085,1.136851130317913,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC000087,0.6585155788128432,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC000089,0.2942508449514153,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000090,0.6676823510192227,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC000093,0.47599376848331226,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000098,0.4699573828158006,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000099,0.18188873046577947,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000100,0.5010396598753697,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000104,0.3271510351394169,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000111,0.4271714195078158,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000112,0.5325442543356569,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000115,0.3716404203474863,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000117,0.33291761720004226,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000118,0.3179276510139417,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000121,0.46105090833333334,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000122,0.2222457224070553,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000123,0.3145015842680608,B2_small,models/CNN_LSTM.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,2.0
MAC000125,0.4307852767427123,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000126,0.2212213772549641,B2_small,models/CNN_LSTM.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,0.88,-1.0
MAC000131,0.4256636565378115,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000137,0.5822088086818759,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000143,0.37501114281791303,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000145,0.5202495774397972,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000156,0.4745133080164766,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000160,0.284605988582594,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000175,0.3343864068441065,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000178,0.4629723806770173,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000189,0.5365158426066751,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000200,0.1849226341149134,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000201,0.3661366180608365,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000206,0.4448094634664132,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000207,0.6223531896757499,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC000212,0.13940246092099703,B1_smallest,models/LSTM64x32_global.keras,3.0,0.5,1.5,1.5,0.93,0.95,0.2,1.68,1.0,0.0
MAC000213,0.2941972961713138,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000214,0.3171659273553021,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000215,0.2399891212505281,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000227,0.6331326044465568,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC000228,0.29026024503062936,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000230,0.45382757710181676,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000238,0.3893873045363329,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000244,0.29981733204478245,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC000245,1.162816540156316,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC000271,0.3674181981199831,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000272,0.4431693070500633,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC000274,1.4597388042511616,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC004455,0.7345559251478665,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC004458,1.3032701732784115,B5_largest,models/LSTM64x32_global.keras,15.0,0.5,5.0,5.0,0.93,0.95,0.2,4.41,1.0,0.0
MAC004459,0.7966168673373468,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC004461,0.20864068437896072,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004462,0.49827112370616805,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004463,0.4389026192596114,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004464,0.6213413604087452,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
MAC004465,0.27880719270701315,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004466,0.5383276827101817,B3_medium,models/LSTM64x32_global.keras,8.0,0.5,3.0,3.0,0.93,0.95,0.2,2.73,1.0,0.0
MAC004473,0.2694898077471483,B2_small,models/LSTM64x32_global.keras,5.0,0.5,2.0,2.0,0.93,0.95,0.2,2.1,1.0,0.0
MAC004478,0.6333799641159695,B4_large,models/LSTM64x32_global.keras,12.0,0.5,4.0,4.0,0.93,0.95,0.2,3.57,1.0,0.0
