house_id,kwh_min,kwh_max
MAC000018,0.19,3.95
MAC000019,0.047,2.309
MAC000021,0.34199999999999997,4.5209999
MAC000022,0.043,2.398
MAC000033,0.061,2.115
MAC000038,0.07100000000000001,5.2100001
MAC000040,0.361,7.614
MAC000041,0.015,2.947
MAC000055,0.186,3.911
MAC000056,0.0,3.186
MAC000060,0.051000000000000004,2.817
MAC000068,0.11599999999999999,5.3559998
MAC000083,0.093,5.036
MAC000085,0.16699999999999998,6.8350001
MAC000087,0.0,3.8769999
MAC000089,0.048,3.0119999
MAC000090,0.075,4.327
MAC000093,0.059,3.3739999999999997
MAC000098,0.08,2.541
MAC000099,0.0,2.231
MAC000100,0.118,7.835999900000001
MAC000104,0.020999999999999998,4.821000099999999
MAC000111,0.123,3.7009999000000002
MAC000112,0.15799999999999997,3.9250001
MAC000115,0.023,3.5580000000000003
MAC000117,0.09,3.318
MAC000118,0.1,3.3479999
MAC000121,0.116,3.0660001
MAC000122,0.026,2.0140000000000002
MAC000123,0.10300000000000001,2.375
MAC000125,0.042,3.3300001
MAC000126,0.004,3.2110000000000003
MAC000131,0.086,2.6550000000000002
MAC000137,0.123,4.176
MAC000143,0.0,2.0410000999999998
MAC000145,0.08199999999999999,2.904
MAC000156,0.203,3.9950001
MAC000160,0.069,3.644
MAC000175,0.125,1.6640000000000001
MAC000178,0.134,5.0789998
MAC000189,0.03,3.991
MAC000200,0.003,2.9539999
MAC000201,0.088,2.792
MAC000206,0.101,3.481
MAC000207,0.103,4.7739999
MAC000212,0.0,4.2009999
MAC000213,0.028999999999999998,2.556
MAC000214,0.0,2.511
MAC000215,0.043,1.642
MAC000227,0.154,7.3669999
MAC000228,0.06999999999999999,2.264
MAC000230,0.063,3.7899998999999998
MAC000238,0.089,4.459
MAC000244,0.01,2.4049999
MAC000245,0.14300000000000002,6.224
MAC000271,0.067,2.894
MAC000272,0.08499999999999999,4.1929999
MAC000274,0.07100000000000001,5.7940000000000005
MAC004455,0.091,5.7969999
MAC004458,0.054,5.6459999
MAC004459,0.104,6.74
MAC004461,0.031,4.8410001
MAC004462,0.08499999999999999,3.2400001
MAC004463,0.08,3.2790000999999998
MAC004464,0.193,3.162
MAC004465,0.0,4.0649999999999995
MAC004466,0.096,5.0329999999999995
MAC004473,0.014,3.3119999
MAC004478,0.185,1.913
MAC004490,0.039,3.3109998999999997
MAC004494,0.095,3.13
MAC004495,0.129,4.352
MAC004499,0.062,3.093
MAC004501,0.148,3.386
MAC004502,0.05,3.325
MAC004507,0.08499999999999999,1.9979999999999998
MAC004508,0.059,2.443
MAC004513,0.0,2.074
MAC004521,0.077,5.5589999
MAC004528,0.111,1.215
MAC004531,0.044,3.64
MAC004532,0.046,4.8710001
MAC004533,0.045,1.7649999
MAC004540,0.024,2.172
MAC004545,0.137,3.3720001
MAC004546,0.128,2.846
MAC004550,0.07300000000000001,4.3219998
MAC004563,0.041,5.9089998999999995
MAC004569,0.047,2.459
MAC004571,0.039,5.7590002
MAC004572,0.051000000000000004,2.979
MAC004574,0.14600000000000002,3.1950000000000003
MAC004583,0.009000000000000001,2.2280001
MAC004847,0.087,4.0819999
MAC004848,0.058,3.194
MAC004853,0.098,3.0679999999999996
MAC004856,0.027,1.681
MAC004857,0.082,3.6509999
MAC004862,0.096,2.292
MAC004867,0.036,2.299
